Возраст;Позиции;Имя;Зарплата;Сумма трансфера;Ликвидность;Характер;Физ;Псих;Тех;ОВР;Вратарь;Вратарь (Зщ);Вратарь-чистильщик (Зщ);Вратарь-чистильщик (По);Вратарь-чистильщик (Ат);ЦЗ;КЗ;ОП;ЦП;КП;АП;АКП;ЦН
20;П/АП (Ц);Hamza Holman;€536,000 в год;Не продается;;Общительный;;;12;;;19.4;37.0;38.2;39.0;;;;;;;;
19;П/АП (Ц);Randy Sarfo-Abubakari;€697,000 в год;Не продается;;Достаточно настойчивый;;;13;;;24.7;44.2;45.3;45.6;;;;;;;;
21;П (ПЛЦ), АП (Ц);John Mubayiwa;€978,000 в год;Не продается;;Достаточно профессионален;;;13;;;21.6;40.2;41.2;42.0;;;;;;;;
20;ОП, П/АП (ЛЦ);Alun Clarke;€1,072,000 в год;Не продается;;Достаточно настойчивый;;;11;;;24.3;40.5;41.7;42.5;;;;;;;;
19;П/АП (П);Carlos Alessandra;€534,000 в год;Не продается;;Ненадежный;;;12;;;19.7;35.8;36.8;37.6;;;;;;;;
19;КЗ/П (П), АП (ПЦ);Jordan Bell;€235,000 в год;Не продается;;Тверд в решениях;;;12;;;17.3;33.0;34.0;35.2;;;;;;;;
20;ОП, П (Ц);Shawn Hallam;€352,000 в год;Не продается;;Общительный;;;13;;;22.8;38.1;39.2;40.3;;;;;;;;
20;П (Л), АП (ПЛ);James Shaw;€363,000 в год;Не продается;;Легкомысленный;;;12;;;18.9;36.6;37.8;38.2;;;;;;;;
19;КЗ (П), П/АП (Ц);Nathan Sutcliffe;-;€0;;Достаточно дисциплинированный;;;6;;;14.6;23.7;24.3;24.7;;;;;;;;
21;З (ПЦ), КЗ (П), П (Ц);Craig Coutts;-;€0;;Нерешительный;;;4;;;17.0;25.3;25.9;26.3;;;;;;;;
20;З (ПЦ), П (П);Josh Quintyne;-;€0;;Наемник;;;7;;;17.1;24.5;24.9;26.0;;;;;;;;
20;ОП, П (ПЦ);Aaron Wyatt;-;€0;;Нерешительный;;;11;;;16.2;25.6;26.4;27.6;;;;;;;;
18;П/АП (П), НП (Ц);Gwynfor Partyn;-;€0;;Сдержанный;;;7;;;13.8;21.8;22.6;23.7;;;;;;;;
19;АП (ПЛ), НП (Ц);Frankie Nicholson;-;€0;;Сдержанный;;;10;;;14.5;21.6;22.1;22.9;;;;;;;;
20;В;Ahmed Ferhat;-;€0;;Достаточно профессионален;;;2;;;41.6;48.2;49.6;51.9;;;;;;;;
20;П/АП (П);Martyn Don-Duncan;-;€0;;Неамбициозный;;;9;;;13.4;20.9;21.3;22.1;;;;;;;;
19;З (ПЦ), КЗ (П);Scott Jarvis;-;€0;;Непостоянный;;;6;;;17.8;26.1;26.6;27.3;;;;;;;;
19;З (Ц), ОП, П (Ц);Peter Nnamdi;-;€0;;Сдержанный;;;7;;;15.8;23.7;24.2;24.6;;;;;;;;
19;АП (ПЛ);Jeremy Ball;-;€0;;Низкая самооценка;;;7;;;15.2;24.7;25.3;25.7;;;;;;;;
19;З (Ц);Kieron McLoughlin;-;€0;;Неамбициозный;;;4;;;14.1;21.7;22.4;23.2;;;;;;;;
21;З (ЛЦ), П (Ц);Ali Sweeney;-;€0;;Наемник;;;7;;;19.2;32.0;32.6;33.4;;;;;;;;
