Возраст;Позиции;Имя;Зарплата;Сумма трансфера;Ликвидность;Характер;Физ;Псих;Тех;ОВР;Вратарь;Вратарь (Зщ);Вратарь-чистильщик (Зщ);Вратарь-чистильщик (По);Вратарь-чистильщик (Ат);ЦЗ;КЗ;ОП;ЦП;КП;АП;АКП;ЦН
30;П (Л), АП (ПЛ), НП (Ц);Kylian Mbappé;€68,596,000 в год;€327млн. - €391млн.;;Энергичный;;;18;;;26.0;50.9;52.6;54.1;;;;;;;;
28;НП (Ц);Erling Haaland;€30,789,000 в год;Не продается;;Профессионал;;;16;;;25.9;50.4;52.2;52.6;;;;;;;;
30;В;Gianluigi Donnarumma;€15,008,000 в год;€326млн. - €356млн.;;Амбициозный;;;9;;;84.3;101.2;103.8;107.2;;;;;;;;
26;ОП, П (Ц);Eduardo Camavinga;€25,465,000 в год;€165млн. - €187млн.;;Энергичный;;;18;;;31.8;55.3;56.7;57.8;;;;;;;;
27;АП (Ц), НП (Ц);Gonçalo Ramos;€14,844,000 в год;€146млн. - €199млн.;;Тверд в решениях;;;16;;;25.9;47.7;49.2;50.3;;;;;;;;
26;НП (Ц);Benjamin Šeško;€9,339,000 в год;€102млн. - €148млн.;;Сдержанный;;;15;;;25.0;46.3;47.7;49.2;;;;;;;;
26;П (ЛЦ), АП (ПЛЦ);Jamal Musiala;€23,262,000 в год;€210млн. - €231млн.;;Жизнерадостный;;;17;;;26.6;51.0;52.6;53.8;;;;;;;;
37;В;Marc-André ter Stegen;€25,889,000 в год;Не продается;;Идеалист;;;14;;;77.1;102.2;105.7;110.2;;;;;;;;
25;П (ЛЦ), АП (ПЛЦ), НП (Ц);Rayan Cherki;€9,625,000 в год;€89млн. - €110млн.;;Достаточно настойчивый;;;17;;;18.5;41.1;42.8;43.9;;;;;;;;
31;П (Ц), АП (ПЦ), НП (Ц);Lucas Paquetá;€6,221,000 в год;Не продается;;Сдержанный;;;18;;;24.6;48.9;50.4;51.6;;;;;;;;
27;З (Ц);Gonçalo Inácio;€26,464,000 в год;€72млн.;;Энергичный;;;16;;;27.5;48.8;50.4;51.1;;;;;;;;
28;ОП, П/АП (Ц);Ivan Ilić;€11,858,000 в год;€126млн. - €191млн.;;Тверд в решениях;;;16;;;26.4;50.0;51.7;52.8;;;;;;;;
26;П (Л), АП (ПЛ), НП (Ц);Ansu Fati;€19,804,000 в год;€124млн. - €179млн.;;Тверд в решениях;;;18;;;23.5;46.9;48.5;49.3;;;;;;;;
29;НП (Ц);Dušan Vlahović;€20,482,000 в год;€98млн. - €121млн.;;Энергичный;;;16;;;25.7;46.6;48.0;48.8;;;;;;;;
27;АП (П), НП (Ц);Karim Adeyemi;€22,467,000 в год;€65млн. - €91млн.;;Напористый;;;15;;;23.4;43.8;45.2;45.9;;;;;;;;
29;П (Л), АП (ПЛЦ), НП (Ц);João Félix;€17,823,000 в год;€121млн.;;Амбициозный;;;18;;;22.8;46.2;47.8;48.9;;;;;;;;
34;З (ПЦ), КЗ (П), ОП, П (ПЦ);Joshua Kimmich;€16,759,000 в год;€20млн. - €25млн.;;Образцовый профессионал;;;14;;;27.9;50.8;52.5;52.8;;;;;;;;
24;АП (П), НП (Ц);Youssoufa Moukoko;€18,281,000 в год;€150млн. - €176млн.;;Сознательный;;;18;;;26.9;50.4;52.0;52.4;;;;;;;;
28;П (ПЦ), АП (ПЛЦ);Dominik Szoboszlai;€22,312,000 в год;€80млн. - €93млн.;;Достаточно амбициозный;;;15;;;24.2;45.6;46.9;47.7;;;;;;;;
29;ОП, П/АП (Ц);Vitinha;€13,747,000 в год;€60млн. - €87млн.;;Сознательный;;;16;;;27.8;51.1;52.8;53.1;;;;;;;;
28;П (Л), АП (ПЛ), НП (Ц);Vinícius Júnior;€20,961,000 в год;€130млн. - €189млн.;;Напористый;;;15;;;26.0;48.6;50.2;51.4;;;;;;;;
27;П/АП (ПЦ), НП (Ц);Cole Palmer;€15,965,000 в год;€61млн. - €89млн.;;Амбициозный;;;17;;;25.3;47.2;48.8;49.6;;;;;;;;
32;З (Ц);Rúben Dias;€18,754,000 в год;Не продается;;Профессионал;;;13;;;29.4;48.2;49.4;49.7;;;;;;;;
31;ОП, П (ПЛЦ), АП (ПЦ);Renato Sanches;€9,570,000 в год;Не продается;;Напористый;;;16;;;24.2;45.9;47.4;48.5;;;;;;;;
31;З (ПЦ), ОП;Éder Militão;€25,894,000 в год;Не продается;;Энергичный;;;12;;;27.6;46.7;48.1;48.8;;;;;;;;
26;П (Л), АП (ПЛЦ), НП (Ц);Talles Magno;€23,700,000 в год;€89млн. - €131млн.;;Достаточно настойчивый;;;17;;;22.3;45.4;47.0;47.7;;;;;;;;
34;П/АП (ПЦ);Bernardo Silva;€17,168,000 в год;€11.5млн. - €16.5млн.;;Идеалист;;;17;;;28.1;51.6;53.0;54.1;;;;;;;;
30;З (Ц), ОП;Alessandro Bastoni;€18,193,000 в год;€75млн. - €112млн.;;Профессионал;;;14;;;28.6;50.8;52.1;52.5;;;;;;;;
27;З (ПЦ), ОП, П (Ц);Tanguy Nianzou;€16,497,000 в год;€100млн. - €118млн.;;Идеалист;;;14;;;26.3;45.3;46.5;47.6;;;;;;;;
28;З/КЗ/П/АП (Л);Alphonso Davies;€18,354,000 в год;€136млн. - €188млн.;;Напористый;;;15;;;27.1;46.9;48.1;49.2;;;;;;;;
30;П (Л), АП (ЛЦ), НП (Ц);Rafael Leão;€16,551,000 в год;€88млн. - €107млн.;;Сдержанный;;;15;;;24.7;46.6;47.8;48.2;;;;;;;;
23;АП (П), НП (Ц);Lukša Grabovac;€10,130,000 в год;€153млн. - €200млн.;;Напористый;;;17;;;24.0;47.7;49.4;49.7;;;;;;;;
31;З (ПЦ), КЗ (П), ОП;Juan Foyth;€7,031,000 в год;€81млн. - €115млн.;;Сдержанный;;;16;;;26.0;47.5;48.8;49.2;;;;;;;;
34;ОП, П/АП (Ц);Leon Goretzka;€12,392,000 в год;€9млн. - €11млн.;;Идеалист;;;17;;;26.0;47.0;48.3;49.0;;;;;;;;
25;П/АП (Ц), НП (Ц);Matheus França;€12,857,000 в год;€101млн. - €124млн.;;Тверд в решениях;;;15;;;26.8;48.5;49.8;50.9;;;;;;;;
32;ОП, П (Ц);Rúben Neves;€15,888,000 в год;€48млн.;;Профессионал;;;17;;;28.0;51.6;53.4;53.8;;;;;;;;
30;З (Ц), ОП;Dayot Upamecano;€17,711,000 в год;€81млн. - €117млн.;;Достаточно настойчивый;;;13;;;27.5;48.3;49.7;50.8;;;;;;;;
35;З (ПЦ), ОП;Marquinhos;€11,495,000 в год;€8.2млн. - €9.8млн.;;Сознательный;;;14;;;27.2;48.9;50.6;51.8;;;;;;;;
28;П/АП (ПЛ);Khvicha Kvaratskhelia;€17,117,000 в год;€85млн. - €123млн.;;Энергичный;;;18;;;22.7;45.8;47.4;48.1;;;;;;;;
29;З (ЛЦ), ОП;Nico Schlotterbeck;€9,255,000 в год;€86млн.;;Достаточно дисциплинированный;;;14;;;25.9;47.2;48.9;49.6;;;;;;;;
30;З/КЗ (П);Dodo;€19,355,000 в год;€50млн.;;Энергичный;;;15;;;23.3;43.9;45.3;46.0;;;;;;;;
35;АП (ЛЦ), НП (Ц);Harry Kane;€16,158,000 в год;€7.4млн. - €11млн.;;Образцовый профессионал;;;16;;;26.8;50.0;51.6;52.4;;;;;;;;
32;З/КЗ/П (Л);Ben Chilwell;€9,105,000 в год;€28млн. - €40млн.;;Достаточно профессионален;;;14;;;24.6;44.2;45.3;46.4;;;;;;;;
32;П (Ц), АП (ПЛЦ), НП (Ц);Mikel Oyarzábal;€13,138,000 в год;Не продается;;Профессионал;;;16;;;24.4;45.7;47.0;48.1;;;;;;;;
30;ОП, П (Ц);Matteo Guendouzi;€11,201,000 в год;€71млн. - €86млн.;;Сдержанный;;;16;;;27.9;50.6;51.8;52.6;;;;;;;;
28;ОП, П (Ц);Marcos Antonio;€13,919,000 в год;€43млн. - €63млн.;;Профессионал;;;15;;;26.8;47.6;48.8;49.9;;;;;;;;
29;П (Ц), АП (ПЦ), НП (Ц);Kai Havertz;€12,903,000 в год;€134млн. - €158млн.;;Легкомысленный;;;18;;;23.3;48.0;49.7;50.4;;;;;;;;
31;З (Ц);Fikayo Tomori;€11,962,000 в год;Не продается;;Достаточно профессионален;;;13;;;27.5;47.5;48.8;50.0;;;;;;;;
30;П (ПЛ), АП (ПЛЦ);Christian Pulisic;€12,008,000 в год;€42млн. - €62млн.;;Амбициозный;;;16;;;25.2;45.8;46.9;47.3;;;;;;;;
25;ОП, П/АП (Ц);Jude Bellingham;€12,905,000 в год;€90млн. - €106млн.;;Напористый;;;15;;;25.2;46.5;48.0;48.7;;;;;;;;
32;ОП, П/АП (Ц);Nicolò Barella;€14,178,000 в год;Не продается;;Образцовый профессионал;;;16;;;27.5;50.2;51.4;52.6;;;;;;;;
30;З (ПЦ), КЗ (П);Jules Koundé;€24,537,000 в год;€71млн. - €102млн.;;Тверд в решениях;;;15;;;26.6;46.4;47.7;48.0;;;;;;;;
26;П (Ц), АП (ПЛЦ);Pedri;€28,628,000 в год;€128млн. - €155млн.;;Достаточно профессионален;;;17;;;26.6;52.5;54.3;55.0;;;;;;;;
27;З/КЗ (Л), П (П), АП (ПЛ);Bukayo Saka;€18,779,000 в год;Не продается;;Энергичный;;;16;;;27.4;50.6;52.2;52.6;;;;;;;;
32;П (ПЛ), АП (ПЛЦ), НП (Ц);Allan Saint-Maximin;€10,893,000 в год;€29млн. - €42млн.;;Достаточно амбициозный;;;17;;;24.9;46.2;47.4;47.7;;;;;;;;
32;ОП, П (Ц);Rodri;€13,045,000 в год;€60млн. - €86млн.;;Профессионал;;;14;;;27.0;49.5;51.0;51.8;;;;;;;;
26;ОП, П (Ц);Ilaix Moriba;€12,384,000 в год;€141млн. - €165млн.;;Амбициозный;;;18;;;28.8;52.1;53.4;54.6;;;;;;;;
25;П (П), АП (ПЛ), НП (Ц);Mohamed-Ali Cho;€10,970,000 в год;€68млн. - €100млн.;;Энергичный;;;14;;;23.2;43.2;44.4;44.8;;;;;;;;
